[siege-trace] t137d__04 t=47258 (25,16) map=1 stage=0 hp=100%
[siege-trace] t137d__07 t=47921 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47948 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=47948 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47948 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47948 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47948 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47948 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47948 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47949 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47949 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47949 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47949 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47950 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47950 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47950 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47950 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47951 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=47978 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=47978 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=47978 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=47978 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=47978 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=47978 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=47978 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=47979 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=47979 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=47979 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=47979 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=47980 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=47980 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=47980 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=47980 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=47981 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=48008 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=48008 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=48008 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=48008 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=48008 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=48008 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=48008 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=48009 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=48009 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=48009 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=48009 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=48010 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=48010 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=48010 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=48010 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=48011 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=48038 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=48038 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=48038 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=48038 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=48038 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=48038 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=48038 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=48039 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=48039 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=48039 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=48039 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=48040 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=48040 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=48040 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=48040 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=48041 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=48068 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=48068 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=48068 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=48068 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=48068 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=48068 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=48068 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=48069 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=48069 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=48069 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=48069 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=48070 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=48070 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=48070 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=48070 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=48071 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=48098 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=48098 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=48098 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=48098 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=48098 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=48098 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=48098 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=48099 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=48099 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=48099 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=48099 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=48100 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=48100 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=48100 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=48100 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=48101 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=48128 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=48128 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__08 t=48128 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__01 t=48128 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=48128 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=48128 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=48128 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__06 t=48129 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=48129 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__13 t=48129 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=48129 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=48130 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=48130 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=48130 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=48130 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=48131 (28,10) map=6 stage=11 hp=100%
[bots] CRYPT bossSeen=224 bossKills=0 curse=0 slam=0
[bots] SIEGE reg=0 breach=0 crown=0
[bots] SUMMARY welcomed=16/16 moved=16/16 minDeltas=18000 kills=16 pots=0 swings=0 deaths=0 shops=0 anvilTries=0 levelDrops=0 regear=0 maxLevel=15 pkts=10769424 bytes=258155604 gates b/g/p/a/r=0/0/0/0/0 mGold=0 mPelts=0 bless=0 mend=0 noSee=0 hurt=0 choir c6=0 c7=0 c8=0
[bots] t137d__00    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=14 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__01    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=14 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__02    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=14 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__03    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=14 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__04    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=14 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__05    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=14 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__06    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=14 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__07    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=14 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__08    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=14 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__09    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=14 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__10    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=14 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__11    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=14 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__12    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=14 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__13    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=14 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__14    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=14 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__15    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=14 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] OK
