[siege-trace] t137d__04 t=45873 (42,11) map=1 stage=0 hp=100%
[siege-trace] t137d__07 t=46537 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46563 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46564 (28,10) map=1 stage=11 hp=96%
[siege-trace] t137d__08 t=46564 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46564 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46564 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46564 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46564 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46564 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46564 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46565 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46565 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46566 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46566 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46566 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46566 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46567 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46593 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46594 (28,10) map=1 stage=11 hp=95%
[siege-trace] t137d__08 t=46594 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46594 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46594 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46594 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46594 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46594 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46594 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46595 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46595 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46596 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46596 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46596 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46596 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46597 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46623 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46624 (28,10) map=1 stage=11 hp=95%
[siege-trace] t137d__08 t=46624 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46624 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46624 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46624 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46624 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46624 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46624 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46625 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46625 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46626 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46626 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46626 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46626 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46627 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46653 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46654 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__08 t=46654 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46654 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46654 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46654 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46654 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46654 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46654 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46655 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46655 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46656 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46656 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46656 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46656 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46657 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46683 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46684 (28,10) map=1 stage=11 hp=94%
[siege-trace] t137d__08 t=46684 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46684 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46684 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46684 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46684 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46684 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46684 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46685 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46685 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46686 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46686 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46686 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46686 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46687 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46713 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46714 (28,10) map=1 stage=11 hp=86%
[siege-trace] t137d__08 t=46714 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46714 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46714 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46714 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46714 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46714 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46714 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46715 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46715 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46716 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46716 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46716 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46716 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46717 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__04 t=46743 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__15 t=46744 (28,10) map=1 stage=11 hp=94%
[siege-trace] t137d__08 t=46744 (28,10) map=1 stage=11 hp=100%
[siege-trace] t137d__01 t=46744 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__00 t=46744 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__11 t=46744 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__09 t=46744 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__06 t=46744 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__12 t=46744 (28,10) map=6 stage=11 hp=106%
[siege-trace] t137d__13 t=46745 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__10 t=46745 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__05 t=46746 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__03 t=46746 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__14 t=46746 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__02 t=46746 (28,10) map=6 stage=11 hp=100%
[siege-trace] t137d__07 t=46747 (28,10) map=6 stage=11 hp=100%
[bots] CRYPT bossSeen=90 bossKills=0 curse=0 slam=0
[bots] SIEGE reg=0 breach=0 crown=0
[bots] SUMMARY welcomed=16/16 moved=16/16 minDeltas=18000 kills=14 pots=0 swings=0 deaths=4 shops=0 anvilTries=0 levelDrops=0 regear=0 maxLevel=15 pkts=10106519 bytes=242210694 gates b/g/p/a/r=0/0/0/0/0 mGold=0 mPelts=0 bless=0 mend=0 noSee=0 hurt=0 choir c6=0 c7=0 c8=0
[bots] t137d__00    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=6 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__01    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=6 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__02    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=6 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__03    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=6 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__04    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=6 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__05    kit=1 lvl=15 hp=274/274 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=6 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__06    kit=1 lvl=1 hp=94/94 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=6 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__07    kit=1 lvl=1 hp=94/94 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=6 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__08    kit=1 lvl=1 hp=94/94 party=0 deaths=2 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=3 bossKills=0 curse=0 slam=0 lastDeath=(27,11) killerByLvl=L3:2
[bots] t137d__09    kit=1 lvl=2 hp=100/94 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=6 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__10    kit=1 lvl=1 hp=94/94 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=6 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__11    kit=1 lvl=1 hp=94/94 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=6 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__12    kit=1 lvl=2 hp=100/94 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=6 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__13    kit=1 lvl=1 hp=94/94 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=6 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__14    kit=1 lvl=1 hp=94/94 party=0 deaths=0 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=6 bossKills=0 curse=0 slam=0 lastDeath=(-1,-1) killerByLvl=
[bots] t137d__15    kit=1 lvl=1 hp=94/94 party=0 deaths=2 rxR=899 rxM=0 lastPid=0 casts c6=0 c7=0 c8=0 bossSeen=3 bossKills=0 curse=0 slam=0 lastDeath=(28,10) killerByLvl=L5:2
[bots] OK
